County,AdamsCounty,AntelopeCounty,ArthurCounty,BannerCounty,BlaineCounty,Boone County,Box Butte County,Boyd County,Brown County,Buffalo County,Burt County,Butler County,Cass County,Cedar County,Chase County,CherryCounty,Cheyenne County,Clay County,Colfax County,Cuming County,Custer County,Dakota County,Dawes County,Dawson County,Deuel County,Dixon County,Dodge County,DouglasCounty,Dundy County,Fillmore County,Franklin County,Frontier County,Furnas County,Gage County,Garden County,Garfield County,Gosper County,Grant County,Greeley County,Hall County,Hamilton County,Harlan County,Hayes County,Hitchcock County,Holt County,Hooker County,Howard County,Jefferson County,Johnson County,Kearney County,Keith County,Keya Paha County,Kimball County,Knox County,LancasterCounty,LincolnCounty,Logan County,Loup County,Madison County,McPherson County,Merrick County,Morrill County,Nance County,Nemaha County,Nuckolls County,Otoe County,Pawnee County,Perkins County,Phelps County,Pierce County,Platte County,Polk County,Red Willow County,Richardson County,Rock County,Saline County,Sarpy County,Saunders County,Scotts Bluff County,Seward County,Sheridan County,Sherman County,Sioux County,Stanton County,Thayer County,Thomas County,Thurston County,Valley County,Washington County,Wayne County,Webster County,Wheeler County,York County
Jan,25.06,21.33,25.98,27.89,24.35,22.04,26.15,20.96,23.44,24.8,20.68,22.25,23.19,19.89,27.48,24.49,27.8,24.97,21.55,20.64,24.4,19.25,25.79,25.57,27.26,19.24,21.61,22.43,28.6,24.53,25.95,26.62,26.99,24.7,26.25,22.83,26.35,25.42,22.53,24.48,24.31,26.23,27.5,28.3,21.75,25.61,23.5,25.36,24.21,25.19,26.88,22.34,27.53,20.38,23.77,26.01,25.24,23.25,21.28,25.7,23.43,26.86,22.72,24.51,25.61,23.81,25.12,26.95,25.51,20.72,21.94,23.02,27.62,25.2,22.61,24.43,22.79,22.41,27.49,23.46,24.36,24.1,25.41,21.18,25.52,25.58,19.96,23.33,21.78,20.47,25.25,22.31,23.96
Feb,28.82,25.08,28.64,29.56,27.22,25.79,28.32,24.72,26.53,28.19,25.03,26.47,27.76,24.08,30.03,26.93,29.78,28.83,25.66,24.9,27.36,23.66,27.95,28.56,29.8,23.6,25.86,26.87,31.29,28.51,29.66,29.5,30.25,29.11,28.94,26.15,29.44,27.89,26.13,28.19,28.19,29.87,30.09,31.14,25.17,27.88,27.13,29.5,28.71,28.89,29.52,25.68,28.94,24.35,28.12,28.7,27.74,26.42,25.29,28.1,27.25,29.27,26.52,29,29.47,28.37,29.46,29.53,28.83,24.77,25.91,26.98,30.56,29.68,25.86,28.58,27.36,26.7,29.54,27.69,26.81,27.5,27.31,25.25,29.49,27.91,24.3,26.72,26.13,24.62,28.96,25.78,27.94
Mar,39.3,36.04,38.19,38.02,37.32,36.56,37.32,35.33,36.58,38.47,37.19,38,39.6,35.38,39.52,36.5,38.65,39.49,37.27,36.61,37.51,35.67,37.26,38.75,39.07,35.24,37.61,38.88,40.79,39.49,40.08,39.54,40.4,40.41,38.37,36.54,39.63,37.35,36.73,38.68,38.94,40.21,39.69,40.83,35.66,37.3,37.74,40.59,40.24,39.16,39.03,35.65,37.42,35.59,39.55,38.49,37.79,36.65,36.39,37.68,38.08,38.15,37.37,40.52,40.14,39.98,40.82,39.08,39.09,35.87,37.13,38.16,40.46,41.07,36,39.82,39.34,38.3,38.3,39.03,36.4,38,36.49,36.55,40.43,37.83,36.33,37.28,38.18,35.88,39.59,36.45,38.96
Apr,49.65,47.09,46.66,45.02,46.61,47.45,44.97,46.22,46.04,48.51,49.13,49.16,50.93,47.3,47.82,45.3,45.87,49.99,48.62,48.37,46.88,47.76,45.09,48.2,47.17,47.24,49.28,50.55,49.03,50.24,50.07,48.92,49.83,51.16,46.48,46.74,49.07,45.69,47.21,49.04,49.64,49.99,48.32,49.6,46.34,45.89,48.15,51.13,51.06,49.36,47.5,45.55,44.28,47.08,50.69,47.38,46.71,46.48,47.63,46.32,48.84,45.86,48.21,51.53,50.47,51.01,51.48,47.52,49.01,47.31,48.28,49.12,49.64,52.01,46.01,50.65,50.88,49.8,45.65,50.04,44.49,48.01,43.97,48.03,50.85,46.63,48.26,47.39,49.94,47.56,49.97,46.98,49.92
May,60.6,58.4,57.23,54.78,57.45,58.82,55.1,57.72,57.21,59.28,60.85,60.64,61.95,59.16,58.35,55.95,55.8,61,60.15,60.09,57.53,59.72,55.15,58.8,57.29,59.21,60.83,61.6,59.52,61.35,60.74,59.34,60.43,62.12,56.61,57.63,59.71,56.1,58.28,60.04,60.78,60.54,58.76,60.06,57.69,56.33,59.17,62.03,62.04,60.11,58.03,56.99,54.04,58.77,61.6,57.84,57.28,57.36,59.08,56.87,60.05,55.83,59.54,62.54,61.33,62.13,62.35,58.11,59.65,58.82,59.82,60.59,60.08,63.02,57.27,61.67,61.81,61.04,55.54,61.34,54.9,58.83,53.87,59.57,61.7,57.26,60.17,58.2,61.35,59.22,60.85,58.1,61.3
Jun,71.6,69.01,67.93,65.62,68.02,69.42,66.17,68.6,67.75,70.25,71.35,71.13,72.23,69.9,69.56,66.6,66.84,71.88,70.75,70.71,68.46,70.4,66.05,69.71,68.38,69.96,71.38,71.71,70.85,71.95,71.8,70.4,71.65,72.55,67.47,68.36,70.67,66.75,69.07,70.91,71.47,71.57,69.85,71.37,68.55,66.94,70.02,72.56,72.25,71.07,69.03,67.69,64.89,69.53,71.97,68.76,67.99,68.1,69.69,67.59,70.7,66.83,70.16,72.49,72.29,72.35,72.41,69.36,70.58,69.46,70.39,71.1,71.34,72.81,67.9,72.11,72,71.52,66.43,71.75,65.72,69.82,64.76,70.22,72.5,67.76,70.86,69.09,71.61,69.92,72.1,68.81,71.92
Jul,76,73.66,74.11,72.64,73.92,73.8,73.11,74.54,74.01,74.88,75.1,75.16,76.16,74.18,75.23,73.21,73.56,75.92,74.61,74.62,73.77,74.32,73.46,74.63,74.65,73.92,75.23,75.52,76.47,76.05,76.83,75.74,76.77,76.97,73.86,73.83,75.51,73.15,73.99,75.24,75.44,76.63,75.48,76.96,74.15,73.28,74.58,77.07,76.56,75.77,75.03,74.17,71.69,74.47,76.22,74.42,73.72,73.71,73.74,73.65,74.84,73.57,74.38,76.57,76.69,76.41,76.81,75.06,75.26,73.84,74.31,75,76.66,76.78,73.84,76.29,75.85,75.42,73.24,75.77,72.61,74.66,72.12,74.1,76.95,73.88,74.79,74.3,75.38,73.99,76.93,73.93,75.85
Aug,73.66,71.36,72.1,70.52,71.68,71.41,71.17,72.38,71.75,72.67,72.58,72.83,74.04,71.8,72.92,71.34,71.33,73.61,72.14,72.11,71.63,71.77,71.77,72.47,72.44,71.44,72.73,73.41,74.04,73.7,74.37,73.53,74.36,74.83,71.82,71.64,73.24,71.2,71.57,72.94,73.06,74.25,73.31,74.72,71.9,71.33,72.23,74.84,74.5,73.41,73.02,71.96,69.53,72.11,74,72.38,71.54,71.55,71.4,71.64,72.46,71.36,71.98,74.37,74.38,74.29,74.83,72.89,73.03,71.47,71.97,72.69,74.35,74.65,71.66,74.04,73.78,73.04,71.11,73.48,70.89,72.45,70.27,71.69,74.67,71.68,72.18,72.09,73.08,71.58,74.43,71.54,73.39
Sep,65.42,63.09,63.09,61.27,62.92,63.18,61.86,63.65,62.95,64.42,64.76,64.85,66.04,63.62,64.16,62.25,62.43,65.62,64.21,64.09,63.03,63.67,62.1,64.21,63.35,63.26,64.76,65.54,65.28,65.95,65.94,64.92,65.72,66.67,62.62,63.04,64.97,62.06,63.09,64.76,65.12,65.92,64.65,65.93,63.22,62.32,63.85,66.73,66.28,65.2,64.14,63.22,60.66,63.62,66.02,63.77,62.82,62.79,63.36,62.78,64.38,62.05,63.83,66.38,66.2,66.27,66.61,63.94,64.94,63.3,64,64.82,65.53,66.62,62.86,66.18,65.82,65.07,61.84,65.56,61.36,63.86,60.74,63.77,66.57,62.82,64.1,63.37,65.29,63.45,65.77,63.31,65.64
Oct,52.25,49.65,49.02,47.52,49.17,50.07,47.76,49.41,48.89,51.15,51.66,51.83,53.33,50.18,50.34,48.33,48.58,52.71,51.18,50.93,49.47,50.4,47.97,50.81,49.41,50.05,51.79,52.86,51.39,53,52.58,51.3,52.12,53.93,48.78,49.45,51.58,48.2,49.87,51.7,52.31,52.54,51.12,52.11,49.26,48.62,50.72,53.98,53.59,51.94,50.28,48.89,47,49.75,53.22,50.19,49.26,49.06,50.14,49.13,51.48,48.11,50.83,53.93,53.26,53.6,54.1,50.05,51.69,49.91,50.91,51.88,51.89,54.27,48.8,53.32,53.14,52.27,48.02,52.61,47.23,50.46,46.64,50.68,53.64,49.16,50.81,49.85,52.46,50.35,52.35,49.93,52.69
